date,medicine_id,medicine_name,category,sales,price,base_criticality,day_of_week,month,year,is_weekend,season,season_name,current_stock,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30
2024-01-04,MED011,Vaccin Méningite,Vaccin,13,8000,10,3,1,2024,0,0,dry,257,23.0,20.0,,,,20.0,20.0,20.0
2024-01-04,MED012,Moustiquaire imprégnée,Prévention,15,3000,8,3,1,2024,0,0,dry,588,14.0,14.0,,,,15.75,15.75,15.75
2024-01-04,MED013,Cétirizine 10mg,Antiallergique,49,1200,5,3,1,2024,0,0,dry,2016,52.0,57.0,,,,55.0,55.0,55.0
2024-01-04,MED014,Oméprazole 20mg,Gastrique,47,2500,6,3,1,2024,0,0,dry,968,59.0,42.0,,,,46.75,46.75,46.75
2024-01-04,MED015,Salbutamol inhalateur,Respiratoire,44,4500,7,3,1,2024,0,0,dry,1371,57.0,49.0,,,,46.0,46.0,46.0
2024-01-05,MED001,Paracétamol 500mg,Antalgique,94,1500,9,4,1,2024,0,0,dry,3936,61.0,110.0,,,,91.6,91.6,91.6
2024-01-05,MED002,Amoxicilline 500mg,Antibiotique,36,3500,8,4,1,2024,0,0,dry,658,46.0,38.0,,,,48.4,48.4,48.4
2024-01-05,MED003,Arthéméther 20mg,Antipaludéen,40,2500,10,4,1,2024,0,0,dry,1112,55.0,79.0,,,,55.4,55.4,55.4
2024-01-05,MED004,SRO (Sel Réhydratation),Réhydratation,25,500,9,4,1,2024,0,0,dry,1020,21.0,24.0,,,,22.2,22.2,22.2
2024-01-05,MED005,Métronidazole 250mg,Antiparasitaire,14,2000,7,4,1,2024,0,0,dry,424,15.0,30.0,,,,21.4,21.4,21.4
2024-01-05,MED006,Ibuprofène 400mg,Anti-inflammatoire,47,1800,6,4,1,2024,0,0,dry,1018,35.0,50.0,,,,50.6,50.6,50.6
2024-01-05,MED007,Ciprofloxacine 500mg,Antibiotique,17,4000,8,4,1,2024,0,0,dry,427,19.0,21.0,,,,22.4,22.4,22.4
2024-01-05,MED008,Quinine 300mg,Antipaludéen,20,5000,9,4,1,2024,0,0,dry,493,19.0,17.0,,,,19.0,19.0,19.0
2024-01-05,MED009,ORS + Zinc,Réhydratation,24,800,8,4,1,2024,0,0,dry,866,22.0,27.0,,,,27.2,27.2,27.2
2024-01-05,MED010,Ceftriaxone 1g,Antibiotique,12,6000,9,4,1,2024,0,0,dry,529,11.0,18.0,,,,14.6,14.6,14.6
2024-01-05,MED011,Vaccin Méningite,Vaccin,19,8000,10,4,1,2024,0,0,dry,428,13.0,24.0,,,,19.8,19.8,19.8
2024-01-05,MED012,Moustiquaire imprégnée,Prévention,12,3000,8,4,1,2024,0,0,dry,288,15.0,20.0,,,,15.0,15.0,15.0
2024-01-05,MED013,Cétirizine 10mg,Antiallergique,39,1200,5,4,1,2024,0,0,dry,628,49.0,62.0,,,,51.8,51.8,51.8
2024-01-05,MED014,Oméprazole 20mg,Gastrique,42,2500,6,4,1,2024,0,0,dry,1263,47.0,39.0,,,,45.8,45.8,45.8
2024-01-05,MED015,Salbutamol inhalateur,Respiratoire,26,4500,7,4,1,2024,0,0,dry,607,44.0,34.0,,,,42.0,42.0,42.0
2024-01-06,MED001,Paracétamol 500mg,Antalgique,59,1500,9,5,1,2024,1,0,dry,1309,94.0,97.0,,,,86.16666666666667,86.16666666666667,86.16666666666667
2024-01-06,MED002,Amoxicilline 500mg,Antibiotique,19,3500,8,5,1,2024,1,0,dry,563,36.0,63.0,,,,43.5,43.5,43.5
2024-01-06,MED003,Arthéméther 20mg,Antipaludéen,37,2500,10,5,1,2024,1,0,dry,823,40.0,54.0,,,,52.333333333333336,52.333333333333336,52.333333333333336
2024-01-06,MED004,SRO (Sel Réhydratation),Réhydratation,13,500,9,5,1,2024,1,0,dry,492,25.0,21.0,,,,20.666666666666668,20.666666666666668,20.666666666666668
2024-01-06,MED005,Métronidazole 250mg,Antiparasitaire,10,2000,7,5,1,2024,1,0,dry,368,14.0,20.0,,,,19.5,19.5,19.5
2024-01-06,MED006,Ibuprofène 400mg,Anti-inflammatoire,27,1800,6,5,1,2024,1,0,dry,917,47.0,75.0,,,,46.666666666666664,46.666666666666664,46.666666666666664
2024-01-06,MED007,Ciprofloxacine 500mg,Antibiotique,14,4000,8,5,1,2024,1,0,dry,435,17.0,20.0,,,,21.0,21.0,21.0
2024-01-06,MED008,Quinine 300mg,Antipaludéen,7,5000,9,5,1,2024,1,0,dry,280,20.0,23.0,,,,17.0,17.0,17.0
2024-01-06,MED009,ORS + Zinc,Réhydratation,12,800,8,5,1,2024,1,0,dry,247,24.0,36.0,,,,24.666666666666668,24.666666666666668,24.666666666666668
2024-01-06,MED010,Ceftriaxone 1g,Antibiotique,5,6000,9,5,1,2024,1,0,dry,163,12.0,16.0,,,,13.0,13.0,13.0
2024-01-06,MED011,Vaccin Méningite,Vaccin,9,8000,10,5,1,2024,1,0,dry,139,19.0,23.0,,,,18.0,18.0,18.0
2024-01-06,MED012,Moustiquaire imprégnée,Prévention,7,3000,8,5,1,2024,1,0,dry,152,12.0,14.0,,,,13.666666666666666,13.666666666666666,13.666666666666666
2024-01-06,MED013,Cétirizine 10mg,Antiallergique,29,1200,5,5,1,2024,1,0,dry,586,39.0,52.0,,,,48.0,48.0,48.0
2024-01-06,MED014,Oméprazole 20mg,Gastrique,26,2500,6,5,1,2024,1,0,dry,691,42.0,59.0,,,,42.5,42.5,42.5
2024-01-06,MED015,Salbutamol inhalateur,Respiratoire,27,4500,7,5,1,2024,1,0,dry,516,26.0,57.0,,,,39.5,39.5,39.5
2024-01-07,MED001,Paracétamol 500mg,Antalgique,43,1500,9,6,1,2024,1,0,dry,791,59.0,61.0,,,,80.0,80.0,80.0
2024-01-07,MED002,Amoxicilline 500mg,Antibiotique,30,3500,8,6,1,2024,1,0,dry,1239,19.0,46.0,,,,41.57142857142857,41.57142857142857,41.57142857142857
2024-01-07,MED003,Arthéméther 20mg,Antipaludéen,24,2500,10,6,1,2024,1,0,dry,835,37.0,55.0,,,,48.285714285714285,48.285714285714285,48.285714285714285
2024-01-07,MED004,SRO (Sel Réhydratation),Réhydratation,14,500,9,6,1,2024,1,0,dry,443,13.0,21.0,,,,19.714285714285715,19.714285714285715,19.714285714285715
2024-01-07,MED005,Métronidazole 250mg,Antiparasitaire,12,2000,7,6,1,2024,1,0,dry,267,10.0,15.0,,,,18.428571428571427,18.428571428571427,18.428571428571427
2024-01-07,MED006,Ibuprofène 400mg,Anti-inflammatoire,22,1800,6,6,1,2024,1,0,dry,922,27.0,35.0,,,,43.142857142857146,43.142857142857146,43.142857142857146
2024-01-07,MED007,Ciprofloxacine 500mg,Antibiotique,16,4000,8,6,1,2024,1,0,dry,543,14.0,19.0,,,,20.285714285714285,20.285714285714285,20.285714285714285
2024-01-07,MED008,Quinine 300mg,Antipaludéen,8,5000,9,6,1,2024,1,0,dry,203,7.0,19.0,,,,15.714285714285714,15.714285714285714,15.714285714285714
2024-01-07,MED009,ORS + Zinc,Réhydratation,16,800,8,6,1,2024,1,0,dry,670,12.0,22.0,,,,23.428571428571427,23.428571428571427,23.428571428571427
2024-01-07,MED010,Ceftriaxone 1g,Antibiotique,9,6000,9,6,1,2024,1,0,dry,345,5.0,11.0,,,,12.428571428571429,12.428571428571429,12.428571428571429
2024-01-07,MED011,Vaccin Méningite,Vaccin,9,8000,10,6,1,2024,1,0,dry,157,9.0,13.0,,,,16.714285714285715,16.714285714285715,16.714285714285715
2024-01-07,MED012,Moustiquaire imprégnée,Prévention,5,3000,8,6,1,2024,1,0,dry,209,7.0,15.0,,,,12.428571428571429,12.428571428571429,12.428571428571429
2024-01-07,MED013,Cétirizine 10mg,Antiallergique,29,1200,5,6,1,2024,1,0,dry,443,29.0,49.0,,,,45.285714285714285,45.285714285714285,45.285714285714285
2024-01-07,MED014,Oméprazole 20mg,Gastrique,18,2500,6,6,1,2024,1,0,dry,628,26.0,47.0,,,,39.0,39.0,39.0
2024-01-07,MED015,Salbutamol inhalateur,Respiratoire,15,4500,7,6,1,2024,1,0,dry,297,27.0,44.0,,,,36.0,36.0,36.0
2024-01-08,MED001,Paracétamol 500mg,Antalgique,107,1500,9,0,1,2024,0,0,dry,3825,43.0,94.0,96.0,,,81.57142857142857,83.375,83.375
2024-01-08,MED002,Amoxicilline 500mg,Antibiotique,57,3500,8,0,1,2024,0,0,dry,1238,30.0,36.0,59.0,,,41.285714285714285,43.5,43.5
2024-01-08,MED003,Arthéméther 20mg,Antipaludéen,70,2500,10,0,1,2024,0,0,dry,1548,24.0,40.0,49.0,,,51.285714285714285,51.0,51.0
2024-01-08,MED004,SRO (Sel Réhydratation),Réhydratation,24,500,9,0,1,2024,0,0,dry,897,14.0,25.0,20.0,,,20.285714285714285,20.25,20.25
2024-01-08,MED005,Métronidazole 250mg,Antiparasitaire,29,2000,7,0,1,2024,0,0,dry,1173,12.0,14.0,28.0,,,18.571428571428573,19.75,19.75
2024-01-08,MED006,Ibuprofène 400mg,Anti-inflammatoire,71,1800,6,0,1,2024,0,0,dry,2275,22.0,47.0,46.0,,,46.714285714285715,46.625,46.625
2024-01-08,MED007,Ciprofloxacine 500mg,Antibiotique,22,4000,8,0,1,2024,0,0,dry,572,16.0,17.0,35.0,,,18.428571428571427,20.5,20.5
2024-01-08,MED008,Quinine 300mg,Antipaludéen,17,5000,9,0,1,2024,0,0,dry,379,8.0,20.0,16.0,,,15.857142857142858,15.875,15.875
2024-01-08,MED009,ORS + Zinc,Réhydratation,40,800,8,0,1,2024,0,0,dry,1071,16.0,24.0,27.0,,,25.285714285714285,25.5,25.5
2024-01-08,MED010,Ceftriaxone 1g,Antibiotique,21,6000,9,0,1,2024,0,0,dry,712,9.0,12.0,16.0,,,13.142857142857142,13.5,13.5
2024-01-08,MED011,Vaccin Méningite,Vaccin,22,8000,10,0,1,2024,0,0,dry,661,9.0,19.0,20.0,,,17.0,17.375,17.375
2024-01-08,MED012,Moustiquaire imprégnée,Prévention,16,3000,8,0,1,2024,0,0,dry,476,5.0,12.0,14.0,,,12.714285714285714,12.875,12.875
2024-01-08,MED013,Cétirizine 10mg,Antiallergique,48,1200,5,0,1,2024,0,0,dry,1760,29.0,39.0,57.0,,,44.0,45.625,45.625
2024-01-08,MED014,Oméprazole 20mg,Gastrique,45,2500,6,0,1,2024,0,0,dry,707,18.0,42.0,42.0,,,39.42857142857143,39.75,39.75
2024-01-08,MED015,Salbutamol inhalateur,Respiratoire,50,4500,7,0,1,2024,0,0,dry,1015,15.0,26.0,49.0,,,36.142857142857146,37.75,37.75
2024-01-09,MED001,Paracétamol 500mg,Antalgique,131,1500,9,1,1,2024,0,0,dry,5713,107.0,59.0,110.0,,,84.57142857142857,88.66666666666667,88.66666666666667
2024-01-09,MED002,Amoxicilline 500mg,Antibiotique,65,3500,8,1,1,2024,0,0,dry,1696,57.0,19.0,38.0,,,45.142857142857146,45.888888888888886,45.888888888888886
2024-01-09,MED003,Arthéméther 20mg,Antipaludéen,44,2500,10,1,1,2024,0,0,dry,1885,70.0,37.0,79.0,,,46.285714285714285,50.22222222222222,50.22222222222222
2024-01-09,MED004,SRO (Sel Réhydratation),Réhydratation,26,500,9,1,1,2024,0,0,dry,1143,24.0,13.0,24.0,,,20.571428571428573,20.88888888888889,20.88888888888889
2024-01-09,MED005,Métronidazole 250mg,Antiparasitaire,34,2000,7,1,1,2024,0,0,dry,1380,29.0,10.0,30.0,,,19.142857142857142,21.333333333333332,21.333333333333332
2024-01-09,MED006,Ibuprofène 400mg,Anti-inflammatoire,56,1800,6,1,1,2024,0,0,dry,1486,71.0,27.0,50.0,,,47.57142857142857,47.666666666666664,47.666666666666664
2024-01-09,MED007,Ciprofloxacine 500mg,Antibiotique,35,4000,8,1,1,2024,0,0,dry,857,22.0,14.0,21.0,,,20.428571428571427,22.11111111111111,22.11111111111111
2024-01-09,MED008,Quinine 300mg,Antipaludéen,16,5000,9,1,1,2024,0,0,dry,507,17.0,7.0,17.0,,,15.714285714285714,15.88888888888889,15.88888888888889
2024-01-09,MED009,ORS + Zinc,Réhydratation,39,800,8,1,1,2024,0,0,dry,1399,40.0,12.0,27.0,,,27.0,27.0,27.0
2024-01-09,MED010,Ceftriaxone 1g,Antibiotique,18,6000,9,1,1,2024,0,0,dry,322,21.0,5.0,18.0,,,13.142857142857142,14.0,14.0
2024-01-09,MED011,Vaccin Méningite,Vaccin,20,8000,10,1,1,2024,0,0,dry,894,22.0,9.0,24.0,,,16.428571428571427,17.666666666666668,17.666666666666668
2024-01-09,MED012,Moustiquaire imprégnée,Prévention,12,3000,8,1,1,2024,0,0,dry,366,16.0,7.0,20.0,,,11.571428571428571,12.777777777777779,12.777777777777779
2024-01-09,MED013,Cétirizine 10mg,Antiallergique,72,1200,5,1,1,2024,0,0,dry,2680,48.0,29.0,62.0,,,45.42857142857143,48.55555555555556,48.55555555555556
2024-01-09,MED014,Oméprazole 20mg,Gastrique,58,2500,6,1,1,2024,0,0,dry,2092,45.0,26.0,39.0,,,42.142857142857146,41.77777777777778,41.77777777777778
2024-01-09,MED015,Salbutamol inhalateur,Respiratoire,42,4500,7,1,1,2024,0,0,dry,999,50.0,27.0,34.0,,,37.285714285714285,38.22222222222222,38.22222222222222
2024-01-10,MED001,Paracétamol 500mg,Antalgique,123,1500,9,2,1,2024,0,0,dry,4834,131.0,43.0,97.0,,,88.28571428571429,92.1,92.1
2024-01-10,MED002,Amoxicilline 500mg,Antibiotique,64,3500,8,2,1,2024,0,0,dry,2713,65.0,30.0,63.0,,,45.285714285714285,47.7,47.7
2024-01-10,MED003,Arthéméther 20mg,Antipaludéen,62,2500,10,2,1,2024,0,0,dry,1862,44.0,24.0,54.0,,,47.42857142857143,51.4,51.4
2024-01-10,MED004,SRO (Sel Réhydratation),Réhydratation,32,500,9,2,1,2024,0,0,dry,1103,26.0,14.0,21.0,,,22.142857142857142,22.0,22.0
2024-01-10,MED005,Métronidazole 250mg,Antiparasitaire,30,2000,7,2,1,2024,0,0,dry,1166,34.0,12.0,20.0,,,20.571428571428573,22.2,22.2
2024-01-10,MED006,Ibuprofène 400mg,Anti-inflammatoire,80,1800,6,2,1,2024,0,0,dry,2011,56.0,22.0,75.0,,,48.285714285714285,50.9,50.9
2024-01-10,MED007,Ciprofloxacine 500mg,Antibiotique,27,4000,8,2,1,2024,0,0,dry,481,35.0,16.0,20.0,,,21.428571428571427,22.6,22.6
2024-01-10,MED008,Quinine 300mg,Antipaludéen,21,5000,9,2,1,2024,0,0,dry,337,16.0,8.0,23.0,,,15.428571428571429,16.4,16.4
2024-01-10,MED009,ORS + Zinc,Réhydratation,30,800,8,2,1,2024,0,0,dry,938,39.0,16.0,36.0,,,26.142857142857142,27.3,27.3
2024-01-10,MED010,Ceftriaxone 1g,Antibiotique,15,6000,9,2,1,2024,0,0,dry,490,18.0,9.0,16.0,,,13.0,14.1,14.1
2024-01-10,MED011,Vaccin Méningite,Vaccin,14,8000,10,2,1,2024,0,0,dry,225,20.0,9.0,23.0,,,15.142857142857142,17.3,17.3
2024-01-10,MED012,Moustiquaire imprégnée,Prévention,19,3000,8,2,1,2024,0,0,dry,490,12.0,5.0,14.0,,,12.285714285714286,13.4,13.4
2024-01-10,MED013,Cétirizine 10mg,Antiallergique,45,1200,5,2,1,2024,0,0,dry,1380,72.0,29.0,52.0,,,44.42857142857143,48.2,48.2
2024-01-10,MED014,Oméprazole 20mg,Gastrique,60,2500,6,2,1,2024,0,0,dry,1288,58.0,18.0,59.0,,,42.285714285714285,43.6,43.6
2024-01-10,MED015,Salbutamol inhalateur,Respiratoire,50,4500,7,2,1,2024,0,0,dry,878,42.0,15.0,57.0,,,36.285714285714285,39.4,39.4
2024-01-11,MED001,Paracétamol 500mg,Antalgique,58,1500,9,3,1,2024,0,0,dry,1794,123.0,107.0,61.0,,,87.85714285714286,89.0,89.0
2024-01-11,MED002,Amoxicilline 500mg,Antibiotique,41,3500,8,3,1,2024,0,0,dry,1399,64.0,57.0,46.0,,,44.57142857142857,47.09090909090909,47.09090909090909
2024-01-11,MED003,Arthéméther 20mg,Antipaludéen,54,2500,10,3,1,2024,0,0,dry,2390,62.0,70.0,55.0,,,47.285714285714285,51.63636363636363,51.63636363636363
2024-01-11,MED004,SRO (Sel Réhydratation),Réhydratation,21,500,9,3,1,2024,0,0,dry,518,32.0,24.0,21.0,,,22.142857142857142,21.90909090909091,21.90909090909091
2024-01-11,MED005,Métronidazole 250mg,Antiparasitaire,24,2000,7,3,1,2024,0,0,dry,554,30.0,29.0,15.0,,,21.857142857142858,22.363636363636363,22.363636363636363
2024-01-11,MED006,Ibuprofène 400mg,Anti-inflammatoire,48,1800,6,3,1,2024,0,0,dry,832,80.0,71.0,35.0,,,50.142857142857146,50.63636363636363,50.63636363636363
2024-01-11,MED007,Ciprofloxacine 500mg,Antibiotique,16,4000,8,3,1,2024,0,0,dry,702,27.0,22.0,19.0,,,21.0,22.0,22.0
2024-01-11,MED008,Quinine 300mg,Antipaludéen,19,5000,9,3,1,2024,0,0,dry,681,21.0,17.0,19.0,,,15.428571428571429,16.636363636363637,16.636363636363637
2024-01-11,MED009,ORS + Zinc,Réhydratation,22,800,8,3,1,2024,0,0,dry,444,30.0,40.0,22.0,,,26.142857142857142,26.818181818181817,26.818181818181817
2024-01-11,MED010,Ceftriaxone 1g,Antibiotique,10,6000,9,3,1,2024,0,0,dry,225,15.0,21.0,11.0,,,12.857142857142858,13.727272727272727,13.727272727272727
2024-01-11,MED011,Vaccin Méningite,Vaccin,15,8000,10,3,1,2024,0,0,dry,546,14.0,22.0,13.0,,,15.428571428571429,17.09090909090909,17.09090909090909
2024-01-11,MED012,Moustiquaire imprégnée,Prévention,13,3000,8,3,1,2024,0,0,dry,304,19.0,16.0,15.0,,,12.0,13.363636363636363,13.363636363636363
2024-01-11,MED013,Cétirizine 10mg,Antiallergique,57,1200,5,3,1,2024,0,0,dry,2116,45.0,48.0,49.0,,,45.57142857142857,49.0,49.0
2024-01-11,MED014,Oméprazole 20mg,Gastrique,41,2500,6,3,1,2024,0,0,dry,1367,60.0,45.0,47.0,,,41.42857142857143,43.36363636363637,43.36363636363637
2024-01-11,MED015,Salbutamol inhalateur,Respiratoire,34,4500,7,3,1,2024,0,0,dry,762,50.0,50.0,44.0,,,34.857142857142854,38.90909090909091,38.90909090909091
2024-01-12,MED001,Paracétamol 500mg,Antalgique,73,1500,9,4,1,2024,0,0,dry,2754,58.0,131.0,94.0,,,84.85714285714286,87.66666666666667,87.66666666666667
2024-01-12,MED002,Amoxicilline 500mg,Antibiotique,28,3500,8,4,1,2024,0,0,dry,517,41.0,65.0,36.0,,,43.42857142857143,45.5,45.5
2024-01-12,MED003,Arthéméther 20mg,Antipaludéen,34,2500,10,4,1,2024,0,0,dry,551,54.0,44.0,40.0,,,46.42857142857143,50.166666666666664,50.166666666666664
2024-01-12,MED004,SRO (Sel Réhydratation),Réhydratation,25,500,9,4,1,2024,0,0,dry,902,21.0,26.0,25.0,,,22.142857142857142,22.166666666666668,22.166666666666668
2024-01-12,MED005,Métronidazole 250mg,Antiparasitaire,20,2000,7,4,1,2024,0,0,dry,358,24.0,34.0,14.0,,,22.714285714285715,22.166666666666668,22.166666666666668
